,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,-5.0,-5.0,unif_unif_unif,0.5375111069478178,0.3446060968382063,0.2
0,0,-5.0,-4.473684210526316,unif_unif_unif,0.46653319879922966,0.2626942456039691,0.2
0,0,-5.0,-3.947368421052632,unif_unif_unif,0.3938082688239272,0.16700125143784647,0.2
0,0,-5.0,-3.4210526315789473,unif_unif_unif,0.36185008029874804,0.1583417723930284,0.2
0,0,-5.0,-2.8947368421052633,unif_unif_unif,0.3549410859292442,0.16240270412898763,0.2
0,0,-5.0,-2.368421052631579,unif_unif_unif,0.3562513362319891,0.16335107247227576,0.2
0,0,-5.0,-1.8421052631578947,unif_unif_unif,0.36321149723748336,0.16417190594565942,0.2
0,0,-5.0,-1.3157894736842106,unif_unif_unif,0.3812689043994885,0.16554681462902787,0.2
0,0,-5.0,-0.7894736842105265,unif_unif_unif,0.45384170653545575,0.23410759202204948,0.2
0,0,-5.0,-0.2631578947368425,unif_unif_unif,0.503982385393971,0.3219704539695298,0.2
0,0,-5.0,0.2631578947368416,unif_unif_unif,0.5029389873669594,0.3223985380558235,0.2
0,0,-5.0,0.7894736842105257,unif_unif_unif,0.45377730077252015,0.23640477627710096,0.2
0,0,-5.0,1.3157894736842106,unif_unif_unif,0.38206639110729007,0.16883877325932514,0.2
0,0,-5.0,1.8421052631578947,unif_unif_unif,0.3661404770927142,0.17172925725104243,0.2
0,0,-5.0,2.3684210526315788,unif_unif_unif,0.36132276417075887,0.1782267080540304,0.2
0,0,-5.0,2.894736842105263,unif_unif_unif,0.35826943171723225,0.1871557918988744,0.2
0,0,-5.0,3.421052631578947,unif_unif_unif,0.3556253341789411,0.19293242636458222,0.2
0,0,-5.0,3.947368421052632,unif_unif_unif,0.35149345800805565,0.19784926114562684,0.2
0,0,-5.0,4.473684210526315,unif_unif_unif,0.348738882220505,0.20034005429286147,0.2
0,0,-5.0,5.0,unif_unif_unif,0.34480578430479575,0.20139637648653355,0.2
0,0,-5.0,0.0,unif_unif_unif,0.5556519346562601,0.3691719789103047,0.2
0,0,-4.473684210526316,-5.0,unif_unif_unif,0.4664591944879626,0.2625095152921357,0.2
0,0,-4.473684210526316,-4.473684210526316,unif_unif_unif,0.5380839546475282,0.3404294103900322,0.2
0,0,-4.473684210526316,-3.947368421052632,unif_unif_unif,0.466380586320588,0.2602334939681073,0.2
0,0,-4.473684210526316,-3.4210526315789473,unif_unif_unif,0.3922613674528066,0.16324749088858595,0.2
0,0,-4.473684210526316,-2.8947368421052633,unif_unif_unif,0.35954904570450413,0.15296398532932787,0.2
0,0,-4.473684210526316,-2.368421052631579,unif_unif_unif,0.3537189758125495,0.1541571695093245,0.2
0,0,-4.473684210526316,-1.8421052631578947,unif_unif_unif,0.36042454531796464,0.15706881504347223,0.2
0,0,-4.473684210526316,-1.3157894736842106,unif_unif_unif,0.37937799105133546,0.16061117610589604,0.2
0,0,-4.473684210526316,-0.7894736842105265,unif_unif_unif,0.4532731190218038,0.2300878807192033,0.2
0,0,-4.473684210526316,-0.2631578947368425,unif_unif_unif,0.5038287657748235,0.3189068362360687,0.2
0,0,-4.473684210526316,0.2631578947368416,unif_unif_unif,0.504146061590884,0.3206405073872543,0.2
0,0,-4.473684210526316,0.7894736842105257,unif_unif_unif,0.4537063433846291,0.2348855372813869,0.2
0,0,-4.473684210526316,1.3157894736842106,unif_unif_unif,0.38202760612919023,0.16802905953720285,0.2
0,0,-4.473684210526316,1.8421052631578947,unif_unif_unif,0.36530847214333645,0.17080736937606508,0.2
0,0,-4.473684210526316,2.3684210526315788,unif_unif_unif,0.3611341299596515,0.17677479624145512,0.2
0,0,-4.473684210526316,2.894736842105263,unif_unif_unif,0.3579724265877861,0.1855698191364744,0.2
0,0,-4.473684210526316,3.421052631578947,unif_unif_unif,0.35533482444423037,0.19121462110744383,0.2
0,0,-4.473684210526316,3.947368421052632,unif_unif_unif,0.3519024299285006,0.1961715891860157,0.2
0,0,-4.473684210526316,4.473684210526315,unif_unif_unif,0.34742964032623536,0.1985289192835979,0.2
0,0,-4.473684210526316,5.0,unif_unif_unif,0.34415530139318823,0.1995873033046186,0.2
0,0,-4.473684210526316,0.0,unif_unif_unif,0.5563429531378614,0.36294659775213206,0.2
