,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,-5.0,-5.0,place_source_goal,0.4342971014501401,0.21580299176678683,0.2
0,0,-5.0,-4.473684210526316,place_source_goal,0.3834024897693714,0.1924042633403448,0.2
0,0,-5.0,-3.947368421052632,place_source_goal,0.33934729560642635,0.13778816371899433,0.2
0,0,-5.0,-3.4210526315789473,place_source_goal,0.32732127800436006,0.13625740607766815,0.2
0,0,-5.0,-2.8947368421052633,place_source_goal,0.32603523029674336,0.13875259564221512,0.2
0,0,-5.0,-2.368421052631579,place_source_goal,0.32579444638309246,0.1356448124195419,0.2
0,0,-5.0,-1.8421052631578947,place_source_goal,0.32912493536438625,0.12780670484049575,0.2
0,0,-5.0,-1.3157894736842106,place_source_goal,0.34207427397084755,0.12453629823352348,0.2
0,0,-5.0,-0.7894736842105265,place_source_goal,0.4089177730899637,0.15124877208435278,0.2
0,0,-5.0,-0.2631578947368425,place_source_goal,0.5295086251398092,0.29158605748537647,0.2
0,0,-5.0,0.2631578947368416,place_source_goal,0.529516526870364,0.29240325133321593,0.2
0,0,-5.0,0.7894736842105257,place_source_goal,0.4092808416215401,0.15284581813318615,0.2
0,0,-5.0,1.3157894736842106,place_source_goal,0.34278192160590215,0.12771619983868876,0.2
0,0,-5.0,1.8421052631578947,place_source_goal,0.33048153890980286,0.13637309517082924,0.2
0,0,-5.0,2.3684210526315788,place_source_goal,0.328159845016991,0.14584220903592096,0.2
0,0,-5.0,2.894736842105263,place_source_goal,0.3269061903348123,0.15065892426050514,0.2
0,0,-5.0,3.421052631578947,place_source_goal,0.32608783643416217,0.15401533877112544,0.2
0,0,-5.0,3.947368421052632,place_source_goal,0.3253003988710082,0.15582531440238262,0.2
0,0,-5.0,4.473684210526315,place_source_goal,0.3245001136042797,0.15662354767733666,0.2
0,0,-5.0,5.0,place_source_goal,0.32291074676028614,0.15689021509232945,0.2
0,0,-5.0,0.0,place_source_goal,0.6126880102100491,0.3118973884198707,0.2
0,0,-4.473684210526316,-5.0,place_source_goal,0.38319535806787064,0.1922454756617689,0.2
0,0,-4.473684210526316,-4.473684210526316,place_source_goal,0.4344220013952781,0.21347976971720295,0.2
0,0,-4.473684210526316,-3.947368421052632,place_source_goal,0.3828936882737794,0.18804659735924276,0.2
0,0,-4.473684210526316,-3.4210526315789473,place_source_goal,0.3380490365549353,0.13459581248304864,0.2
0,0,-4.473684210526316,-2.8947368421052633,place_source_goal,0.3254276590358338,0.13034166498042205,0.2
0,0,-4.473684210526316,-2.368421052631579,place_source_goal,0.3243725299141904,0.12918790595146615,0.2
0,0,-4.473684210526316,-1.8421052631578947,place_source_goal,0.32709987549530445,0.1225463618479735,0.2
0,0,-4.473684210526316,-1.3157894736842106,place_source_goal,0.34035517206298005,0.11882273735042138,0.2
0,0,-4.473684210526316,-0.7894736842105265,place_source_goal,0.40778723003817213,0.14739305330554256,0.2
0,0,-4.473684210526316,-0.2631578947368425,place_source_goal,0.5291761260272082,0.2878006860237427,0.2
0,0,-4.473684210526316,0.2631578947368416,place_source_goal,0.5292089246552927,0.2894626487500565,0.2
0,0,-4.473684210526316,0.7894736842105257,place_source_goal,0.4086986996720671,0.1512316729069979,0.2
0,0,-4.473684210526316,1.3157894736842106,place_source_goal,0.34237837681279726,0.12646583786159757,0.2
0,0,-4.473684210526316,1.8421052631578947,place_source_goal,0.32996848843393334,0.13496978681225094,0.2
0,0,-4.473684210526316,2.3684210526315788,place_source_goal,0.32768681155624124,0.14441090982616414,0.2
0,0,-4.473684210526316,2.894736842105263,place_source_goal,0.32632803734380106,0.14967004626222485,0.2
0,0,-4.473684210526316,3.421052631578947,place_source_goal,0.3256034948347878,0.1531407857653534,0.2
0,0,-4.473684210526316,3.947368421052632,place_source_goal,0.32485382021354436,0.15502896646978134,0.2
0,0,-4.473684210526316,4.473684210526315,place_source_goal,0.3239908936894244,0.15584313500396374,0.2
0,0,-4.473684210526316,5.0,place_source_goal,0.32325987783092613,0.1562555419877372,0.2
0,0,-4.473684210526316,0.0,place_source_goal,0.6123935855700591,0.3102044453030075,0.2
0,0,-3.947368421052632,-5.0,place_source_goal,0.3386546606667753,0.1373102285806689,0.2
