,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,-5.0,-5.0,source_goal_place,0.5819948497410713,0.24491751453132057,0.2
0,0,-5.0,-4.473684210526316,source_goal_place,0.44897701936798873,0.16770123145076368,0.2
0,0,-5.0,-3.947368421052632,source_goal_place,0.3301118156365708,0.1102516331134829,0.2
0,0,-5.0,-3.4210526315789473,source_goal_place,0.3137765874305114,0.11066681128206048,0.2
0,0,-5.0,-2.8947368421052633,source_goal_place,0.31176168842694774,0.11703691654970548,0.2
0,0,-5.0,-2.368421052631579,source_goal_place,0.31678179653498906,0.122186143944228,0.2
0,0,-5.0,-1.8421052631578947,source_goal_place,0.3212013547754928,0.12758380174645786,0.2
0,0,-5.0,-1.3157894736842106,source_goal_place,0.329456562795818,0.13271020246289988,0.2
0,0,-5.0,-0.7894736842105265,source_goal_place,0.3738717836796635,0.15426480921072375,0.2
0,0,-5.0,-0.2631578947368425,source_goal_place,0.42803059199359467,0.2040218692352849,0.2
0,0,-5.0,0.2631578947368416,source_goal_place,0.42787354172927583,0.20428089267836663,0.2
0,0,-5.0,0.7894736842105257,source_goal_place,0.37382300885931896,0.15543609479789092,0.2
0,0,-5.0,1.3157894736842106,source_goal_place,0.32998953734831554,0.13600956072726852,0.2
0,0,-5.0,1.8421052631578947,source_goal_place,0.3225024330529939,0.13526641106006196,0.2
0,0,-5.0,2.3684210526315788,source_goal_place,0.3217323931416453,0.13532519962567766,0.2
0,0,-5.0,2.894736842105263,source_goal_place,0.3214141012741819,0.13594260952679996,0.2
0,0,-5.0,3.421052631578947,source_goal_place,0.3204079755368217,0.1360710133010858,0.2
0,0,-5.0,3.947368421052632,source_goal_place,0.31883556112702277,0.13613404779895072,0.2
0,0,-5.0,4.473684210526315,source_goal_place,0.3165109498532813,0.1361632820185441,0.2
0,0,-5.0,5.0,source_goal_place,0.3139811966655817,0.13619464652665866,0.2
0,0,-5.0,0.0,source_goal_place,0.473890629316264,0.21358004430400013,0.2
0,0,-4.473684210526316,-5.0,source_goal_place,0.4487219523495235,0.16762908351364544,0.2
0,0,-4.473684210526316,-4.473684210526316,source_goal_place,0.5815953825251362,0.24359122220799465,0.2
0,0,-4.473684210526316,-3.947368421052632,source_goal_place,0.44825141508327265,0.16514132625419656,0.2
