,place,goal,source,prior_spec,mean_gNID,mean_epsilon,mu
0,0,-5.0,-5.0,goal_place_source,0.5072531398470838,0.2670971193885086,0.2
0,0,-5.0,-4.473684210526316,goal_place_source,0.44602899054262507,0.24110147908451204,0.2
0,0,-5.0,-3.947368421052632,goal_place_source,0.4000088634248784,0.20227284563495498,0.2
0,0,-5.0,-3.4210526315789473,goal_place_source,0.3952541198770794,0.18622092415174069,0.2
0,0,-5.0,-2.8947368421052633,goal_place_source,0.3947625116440633,0.171741199004017,0.2
0,0,-5.0,-2.368421052631579,goal_place_source,0.39267988485692934,0.16973779234339287,0.2
0,0,-5.0,-1.8421052631578947,goal_place_source,0.39258310733103763,0.1790235737594895,0.2
0,0,-5.0,-1.3157894736842106,goal_place_source,0.39289197925433067,0.19025629076978942,0.2
0,0,-5.0,-0.7894736842105265,goal_place_source,0.4121871189428751,0.21280500634329913,0.2
0,0,-5.0,-0.2631578947368425,goal_place_source,0.4460537277380253,0.2502977996168028,0.2
0,0,-5.0,0.2631578947368416,goal_place_source,0.44438499271123105,0.2505040795842055,0.2
0,0,-5.0,0.7894736842105257,goal_place_source,0.4090952597332505,0.21414189369801365,0.2
0,0,-5.0,1.3157894736842106,goal_place_source,0.3902540709620213,0.19391706583069876,0.2
0,0,-5.0,1.8421052631578947,goal_place_source,0.38817435289465063,0.18698397954382606,0.2
0,0,-5.0,2.3684210526315788,goal_place_source,0.3880061298522606,0.18317980238719775,0.2
0,0,-5.0,2.894736842105263,goal_place_source,0.38539066324402055,0.17991733307670965,0.2
0,0,-5.0,3.421052631578947,goal_place_source,0.3799469579980067,0.17948080656812243,0.2
0,0,-5.0,3.947368421052632,goal_place_source,0.36898116879057924,0.17938677989141713,0.2
0,0,-5.0,4.473684210526315,goal_place_source,0.3600116644262113,0.17936526288463336,0.2
0,0,-5.0,5.0,goal_place_source,0.3524939117251192,0.1792827022305387,0.2
0,0,-5.0,0.0,goal_place_source,0.4786751067298983,0.2572811370375843,0.2
0,0,-4.473684210526316,-5.0,goal_place_source,0.4461085277197823,0.2405654730785185,0.2
0,0,-4.473684210526316,-4.473684210526316,goal_place_source,0.5082545744329092,0.26604365983511064,0.2
0,0,-4.473684210526316,-3.947368421052632,goal_place_source,0.4463683913320285,0.23864477117750713,0.2
0,0,-4.473684210526316,-3.4210526315789473,goal_place_source,0.4000886490260116,0.1984184266624527,0.2
0,0,-4.473684210526316,-2.8947368421052633,goal_place_source,0.3955726216044411,0.17991511077220051,0.2
0,0,-4.473684210526316,-2.368421052631579,goal_place_source,0.395209013345517,0.16457304245351345,0.2
