,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
95,0,4,4,2,5,5,1,3,3,0.5512172984618944,1.544413873162318,4.134385231454571,0.03843632677104063,0.22212212658723351,"Blackfoot (Algic, Algonquian) ",americas,1.0,1.0,2.0
96,0,2,2,1,5,5,3,4,4,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.22212212658723318,"[AM-14] Dakota (Siouan, Core Siouan)",americas,1.0,1.0,2.0
97,7,1,2,8,4,5,6,3,0,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,2.220446049250313e-16,"[AM-24]  Lakota (Siouan, Core Siouan)",americas,1.0,1.0,2.0
98,0,1,2,0,1,3,0,1,3,0.3370716014167646,0.9207515049022409,2.5838949306899157,0.09178308604451606,0.5670574127133933,"[AM-48]  Yine (Arawakan, Purus)",americas,2.0,1.0,3.0
99,5,4,6,7,8,1,3,0,2,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,2.220446049250313e-16,"[AM-20]  Klamath (Penutian, Klamath-Modoc) ",americas,1.0,1.0,2.0
100,1,2,0,1,2,0,1,2,0,0.3236560826162733,0.857113354188883,2.5250395143645905,0.08228633500242082,0.5820761069607476,"[AM-34]  Otomí, Sierra (Oto-Manguean, Otomian)",americas,1.0,1.0,2.0
101,2,5,3,1,0,3,4,5,3,0.5587410443556942,1.5919341859790077,4.250293745481138,0.04115848818573082,0.19363131615271,"[AM-42] Totonac, Filomeno Mata (Totonacan, Totonac) [José Santiago Francisco, p.c.; 1McFarland 2009]",americas,3.0,1.0,4.0
102,7,5,2,6,4,1,3,8,0,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,-2.220446049250313e-16,"Arapaho (Algic, Algonquian) ",americas,1.0,1.0,2.0
103,4,5,2,4,5,2,3,0,1,0.49305718635109774,1.202636775950125,3.584013028435441,0.011072418917791283,0.14511635752911634,"[AM-29]  Mutsun (Penutian, Costanoan)",americas,1.0,1.0,2.0
104,6,7,5,4,2,0,8,1,3,0.621743612817566,1.7530612423846794,52.377660628845184,-2.713151856075043e-16,-2.220446049250313e-16,"[AM-44]  Trio (Cariban, Guianan)",americas,1.0,1.0,2.0
105,3,1,0,2,1,0,3,1,0,0.4266964405413718,1.244696880686918,3.223583265724238,0.09522598950116011,0.47805650138877465,"[AM-36]  Pipil (Uto-Aztecan, Aztecan)",americas,2.0,1.0,3.0
106,2,4,5,1,7,0,3,6,8,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,-2.220446049250313e-16,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,1.0,1.0,2.0
107,0,3,1,0,3,1,4,2,5,0.4930571863510973,1.202636775950125,3.584013028435441,0.011072418917791716,0.1451163575291169,"[AM-25]  Lenca, Honduran (reconstructed) (Lencan)",americas,1.0,1.0,2.0
108,0,1,1,2,1,1,2,1,1,0.34601401788528396,1.0840456263660467,2.6198646356048396,0.14397251159731858,0.6648329249687339,"[AM-13] Cubeo (Tucanoan, Western Tucanoan) ",americas,2.0,1.0,3.0
109,2,1,1,2,1,1,3,0,0,0.42247902646109925,0.9938980534826948,3.1356738720339177,0.022174425652720233,0.21683813604746638,"[AM-16]  Guaraní (Paraguay) (Tupian, Tupi-Guarani)",americas,1.0,1.0,2.0
110,1,2,3,1,2,3,4,0,5,0.4930571863510975,1.202636775950125,3.584013028435441,0.011072418917791468,0.14511635752911656,"[AM-23]  Kuna, Border (Chibchan, Core Chibchan)",americas,1.0,1.0,2.0
111,4,1,8,5,3,7,0,2,6,0.6217436128175657,1.7530612423846794,52.86262995968926,0.0,2.220446049250313e-16,[AM-26]  Mapudungun (Araucanian) ,americas,1.0,1.0,2.0
112,1,3,0,1,3,2,1,3,2,0.33707160141676473,0.9207515049022409,2.5838949306899157,0.09178308604451596,0.5670574127133934,[AM-27]  Movima (Movima),americas,2.0,1.0,3.0
113,4,0,0,2,3,3,5,1,1,0.5512172984618942,1.5444138731623178,4.134385231454571,0.03843632677104079,0.2221221265872333,"[AM-46]  Wapishana (Arawakan, Northern Maipurean)",americas,1.0,1.0,2.0
114,8,5,0,6,4,1,2,7,3,0.6217436128175666,1.7530612423846796,52.136846965088885,-9.539892494172468e-16,2.220446049250313e-16,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,1.0,1.0,2.0
115,8,2,7,4,0,1,5,6,3,0.6217436128175662,1.7530612423846796,52.86262995968926,-4.032391519123788e-16,2.220446049250313e-16,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,1.0,1.0,2.0
116,4,3,3,4,0,0,2,1,1,0.4663700944793412,1.1829999115623153,3.4226007209210354,0.03316080335663003,0.275072987936937,"[AM-33]  Osage (Siouan, Core Siouan) ",americas,2.0,1.0,3.0
117,2,3,3,2,3,3,1,0,0,0.42247902646109914,0.9938980534826947,3.1356738720339177,0.022174425652720337,0.2168381360474666,"[AM-35]  Parecís (Arawakan, Central Maipuran) ",americas,1.0,1.0,2.0
118,1,6,4,1,3,7,5,0,2,0.5368964088350143,1.391647280784677,3.9664221310649066,0.016144944280984647,0.16228176144406825,"[AM-43]  Totonac, Upper Necaxa (Totonacan, Totonac) ",americas,2.0,1.0,3.0
119,0,1,2,0,1,2,0,1,2,0.32365608261627277,0.857113354188883,2.5250395143645905,0.08228633500242138,0.5820761069607476,"[AM-49]  Yucatec Maya (Mayan, Yucatecan) ",americas,1.0,1.0,2.0
