,place,goal,source,prior_spec,prior_source,mean_gNID,mean_epsilon,mu
0,0.0,-0.789,1.316,place_goal_source,lexiteria,0.31818553563764446,0.05461619530919682,0.1
0,0.0,-0.789,1.316,place_goal_source,lexiteria,0.32904391004938394,0.04221654586717635,0.2
