,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,LangCategory,systematicity
21255,7,5,1,2,4,3,0,6,8,0.6218972846389572,1.7530612423846796,46.10795393169435,-1.0016770185210715e-15,9.325873406851315e-14,"Apache, San Carlos (Athabaskan-Eyak-Tlingit, Athabaskan) ",americas,real,2
21362,4,3,7,5,6,0,2,1,8,0.6218972846389572,1.75306124238468,51.18461327005257,-8.329175785831276e-16,2.220446049250313e-16,"[OC-50]  Yuwaalaraay (Pama-Nyungan, Wiradhuric)",oceania,real,2
21226,5,0,1,8,7,3,2,6,4,0.6218972846389572,1.7530612423846796,46.10795393169435,-1.0016770185210715e-15,9.29256671611256e-14,"Mualang (Austronesian, Malayo-Sumbawan)",asia,real,2
21224,7,2,8,0,1,6,5,3,4,0.6218972846389572,1.7530612423846799,46.10795393169435,-1.0016770185210715e-15,9.325873406851315e-14,"Atong (Sino-Tibetan, Brahmaputran)",asia,real,2
21145,0,1,2,3,4,5,6,7,8,0.6218972846389572,1.7530612423846796,46.10795393169435,-1.0016770185210715e-15,9.325873406851315e-14,simulated,simulated,simulated,2
21289,7,3,1,4,6,8,2,0,5,0.6218972846389572,1.7530612423846796,46.10795393169435,-1.0016770185210715e-15,9.270362255620057e-14,"Tamasheq, Tadraq (Afro-Asiatic, Berber)",africa,real,2
21263,7,3,5,0,2,4,8,6,1,0.621897284638957,1.7530612423846794,46.10795393169435,-7.705207834777473e-16,9.325873406851315e-14,[AM-50]  Yuracaré (Yuracaré) ,americas,real,2
21333,5,3,2,0,6,4,7,8,1,0.621897284638957,1.7530612423846799,46.10795393169435,-7.705207834777473e-16,9.270362255620057e-14,[OC-45]  Wardaman (Yangmanic),oceania,real,2
21259,0,3,5,4,6,2,8,7,1,0.621897284638957,1.7530612423846796,46.10795393169435,-7.705207834777473e-16,9.325873406851315e-14,"[AM-38]  Quechua, Yauyos (Quechuan, Central Quechua I)",americas,real,2
21271,0,7,6,5,1,3,2,8,4,0.621897284638957,1.75306124238468,46.10795393169435,-7.705207834777473e-16,9.29256671611256e-14,"[AM-18]  Inuktitut, Western Canadian (Eskimo-Aleut, Eskimo) ",americas,real,2
21211,4,3,1,0,6,5,7,8,2,0.621897284638957,1.7530612423846799,46.10795393169435,-7.705207834777473e-16,9.29256671611256e-14,"Bantawa (Sino-Tibetan, Kiranti)",asia,real,2
21152,1,7,3,2,4,6,8,5,0,0.621897284638957,1.7530612423846794,46.10795393169435,-7.705207834777473e-16,9.303668946358812e-14,Finnish (Uralic),europe,real,2
21209,4,5,7,0,3,8,1,2,6,0.621897284638957,1.7530612423846794,46.10795393169435,-7.705207834777473e-16,9.29256671611256e-14,"Khasi (Austroasiatic, Khasi-Palaung)",asia,real,2
21245,5,2,1,7,4,0,8,3,6,0.621897284638957,1.7530612423846794,46.10795393169435,-7.705207834777473e-16,9.325873406851315e-14,"[AM-21]  Kodiak Alutiiq (Eskimo-Aleut, Aleut) ",americas,real,2
21235,4,3,0,7,1,5,6,8,2,0.6218972846389568,1.7530612423846796,46.10795393169435,-5.393645484344231e-16,9.29256671611256e-14,"[AM-15]  Garifuna (Arawakan, Caribbean Arawakan) ",americas,real,2
