,D1_place,D2_place,D3_place,D1_goal,D2_goal,D3_goal,D1_source,D2_source,D3_source,I[U;W],I[M;W],gamma_fit,epsilon,gNID,Language,Area,r patterns,theta patterns,consistency_score
0,0,0,1,1,1,0,1,1,0,0.11676279797373668,0.6789315083198549,1.837283257190323,0.25776837923308377,0.9520591211433475,simulated1,simulated,1.0,1.0,2.0
1,0,1,1,1,0,0,0,0,1,0.11751408964970167,0.6798236238835981,1.837283257190323,0.2575026499004601,0.9601972739729496,simulated2,simulated,2.0,2.0,4.0
2,0,0,1,0,0,0,1,1,0,0.1679792006876618,0.4467101342091061,1.9417446985055224,0.07454335361183548,0.6504678247379929,simulated3,simulated,2.0,2.0,4.0
3,0,1,0,0,1,0,0,1,0,0.149729248098337,0.56529926564887,1.8975160453700322,0.1572512013440092,0.9999636218344972,simulated4,simulated,1.0,1.0,2.0
4,0,0,0,0,0,1,0,0,1,0.05468376984863421,0.14863686462822168,1.7545379859684345,0.031101497135385934,0.9438518716561322,simulated5,simulated,2.0,2.0,4.0
5,0,0,0,1,1,1,1,0,1,0.1319954923241532,0.6524660843451288,1.8628595822263512,0.22488538050273227,0.973288759485898,simulated6,simulated,2.0,2.0,4.0
6,0,0,0,0,1,1,1,1,0,0.13926129141640342,0.4868764474486732,1.8801079616728973,0.12751389377595485,0.827857910401073,simulated7,simulated,3.0,3.0,6.0
7,0,1,0,1,1,1,1,0,0,0.11369878619825946,0.693036745613663,1.8288360889279351,0.26974970074565513,0.99360401181224,simulated8,simulated,3.0,3.0,6.0
8,0,0,1,1,1,0,0,1,0,0.12220149327703345,0.6431473944379065,1.8457694418807469,0.23176691460459567,0.9861812203660814,simulated9,simulated,2.0,2.0,4.0
9,0,0,0,0,1,0,1,0,0,0.1015506452999847,0.4039233282392797,1.8120580849779377,0.1249190401893572,0.9036844168533544,simulated10,simulated,3.0,3.0,6.0
10,0,1,1,1,0,1,0,0,1,0.13763201389848323,0.6865588872892545,1.8714639008066414,0.23643771046536705,0.9255680701374744,simulated11,simulated,3.0,3.0,6.0
